Title,Price,Image URL,Product URL,Description,SKU,Stock
Metapod,£148.00,https://scrapeme.live/wp-content/uploads/2018/08/011-350x350.png,https://scrapeme.live/shop/Metapod/,The shell covering this Pokémon’s body is as hard as an iron slab. Metapod does not move very much. It stays still because it is preparing its soft innards for evolution inside the hard shell.,2072,285 in stock
Butterfree,£162.00,https://scrapeme.live/wp-content/uploads/2018/08/012-350x350.png,https://scrapeme.live/shop/Butterfree/,"Butterfree has a superior ability to search for delicious honey from flowers. It can even search out, extract, and carry honey from flowers that are blooming over six miles from its nest.",9507,242 in stock
Weedle,£25.00,https://scrapeme.live/wp-content/uploads/2018/08/013-350x350.png,https://scrapeme.live/shop/Weedle/,Weedle has an extremely acute sense of smell. It is capable of distinguishing its favorite kinds of leaves from those it dislikes just by sniffing with its big red proboscis (nose).,7525,65 in stock
Kakuna,£148.00,https://scrapeme.live/wp-content/uploads/2018/08/014-350x350.png,https://scrapeme.live/shop/Kakuna/,"Kakuna remains virtually immobile as it clings to a tree. However, on the inside, it is extremely busy as it prepares for its coming evolution. This is evident from how hot the shell becomes to the touch.",1049,260 in stock
Beedrill,£168.00,https://scrapeme.live/wp-content/uploads/2018/08/015-350x350.png,https://scrapeme.live/shop/Beedrill/,"Beedrill is extremely territorial. No one should ever approach its nest—this is for their own safety. If angered, they will attack in a furious swarm.",6542,125 in stock
Pidgey,£159.00,https://scrapeme.live/wp-content/uploads/2018/08/016-350x350.png,https://scrapeme.live/shop/Pidgey/,"Pidgey has an extremely sharp sense of direction. It is capable of unerringly returning home to its nest, however far it may be removed from its familiar surroundings.",9452,175 in stock
Pidgeotto,£84.00,https://scrapeme.live/wp-content/uploads/2018/08/017-350x350.png,https://scrapeme.live/shop/Pidgeotto/,"Pidgeotto claims a large area as its own territory. This Pokémon flies around, patrolling its living space. If its territory is violated, it shows no mercy in thoroughly punishing the foe with its sharp claws.",1150,120 in stock
Pidgeot,£185.00,https://scrapeme.live/wp-content/uploads/2018/08/018-350x350.png,https://scrapeme.live/shop/Pidgeot/,"This Pokémon has a dazzling plumage of beautifully glossy feathers. Many Trainers are captivated by the striking beauty of the feathers on its head, compelling them to choose Pidgeot as their Pokémon.",8462,90 in stock
Rattata,£128.00,https://scrapeme.live/wp-content/uploads/2018/08/019-350x350.png,https://scrapeme.live/shop/Rattata/,"Rattata is cautious in the extreme. Even while it is asleep, it constantly listens by moving its ears around. It is not picky about where it lives—it will make its nest anywhere.",1009,16 in stock
Raticate,£60.00,https://scrapeme.live/wp-content/uploads/2018/08/020-350x350.png,https://scrapeme.live/shop/Raticate/,"Raticate’s sturdy fangs grow steadily. To keep them ground down, it gnaws on rocks and logs. It may even chew on the walls of houses.",5745,204 in stock
Spearow,£133.00,https://scrapeme.live/wp-content/uploads/2018/08/021-350x350.png,https://scrapeme.live/shop/Spearow/,"Spearow has a very loud cry that can be heard over half a mile away. If its high, keening cry is heard echoing all around, it is a sign that they are warning each other of danger.",1591,46 in stock
Fearow,£95.00,https://scrapeme.live/wp-content/uploads/2018/08/022-350x350.png,https://scrapeme.live/shop/Fearow/,Fearow is recognized by its long neck and elongated beak. They are conveniently shaped for catching prey in soil or water. It deftly moves its long and skinny beak to pluck prey.,9127,276 in stock
Ekans,£55.00,https://scrapeme.live/wp-content/uploads/2018/08/023-350x350.png,https://scrapeme.live/shop/Ekans/,Ekans curls itself up in a spiral while it rests. Assuming this position allows it to quickly respond to a threat from any direction with a glare from its upraised head.,5690,120 in stock
Arbok,£182.00,https://scrapeme.live/wp-content/uploads/2018/08/024-350x350.png,https://scrapeme.live/shop/Arbok/,"This Pokémon is terrifically strong in order to constrict things with its body. It can even flatten steel oil drums. Once Arbok wraps its body around its foe, escaping its crunching embrace is impossible.",9230,248 in stock
Pikachu,£37.00,https://scrapeme.live/wp-content/uploads/2018/08/025-350x350.png,https://scrapeme.live/shop/Pikachu/,This Pokémon has electricity-storing pouches on its cheeks. These appear to become electrically charged during the night while Pikachu sleeps. It occasionally discharges electricity when it is dozy after waking up.,1333,254 in stock
Raichu,£140.00,https://scrapeme.live/wp-content/uploads/2018/08/026-350x350.png,https://scrapeme.live/shop/Raichu/,This Pokémon exudes a weak electrical charge from all over its body that makes it take on a slight glow in darkness. Raichu plants its tail in the ground to discharge electricity.,3488,215 in stock
Sandshrew,£82.00,https://scrapeme.live/wp-content/uploads/2018/08/027-350x350.png,https://scrapeme.live/shop/Sandshrew/,"Sandshrew has a very dry hide that is extremely tough. The Pokémon can roll into a ball that repels any attack. At night, it burrows into the desert sand to sleep.",9134,100 in stock
Sandslash,£155.00,https://scrapeme.live/wp-content/uploads/2018/08/028-350x350.png,https://scrapeme.live/shop/Sandslash/,"Sandslash can roll up its body as if it were a ball covered with large spikes. In battle, this Pokémon will try to make the foe flinch by jabbing it with its spines. It then leaps at the stunned foe to tear wildly with its sharp claws.",4747,236 in stock
Nidorina,£28.00,https://scrapeme.live/wp-content/uploads/2018/08/030-350x350.png,https://scrapeme.live/shop/Nidorina/,"When Nidorina are with their friends or family, they keep their barbs tucked away to prevent hurting each other. This Pokémon appears to become nervous if separated from the others.",9779,58 in stock
Nidoqueen,£106.00,https://scrapeme.live/wp-content/uploads/2018/08/031-350x350.png,https://scrapeme.live/shop/Nidoqueen/,Nidoqueen’s body is encased in extremely hard scales. It is adept at sending foes flying with harsh tackles. This Pokémon is at its strongest when it is defending its young.,6614,153 in stock
Nidorino,£179.00,https://scrapeme.live/wp-content/uploads/2018/08/033-350x350.png,https://scrapeme.live/shop/Nidorino/,"Nidorino has a horn that is harder than a diamond. If it senses a hostile presence, all the barbs on its back bristle up at once, and it challenges the foe with all its might.",9646,279 in stock
Nidoking,£31.00,https://scrapeme.live/wp-content/uploads/2018/08/034-350x350.png,https://scrapeme.live/shop/Nidoking/,"Nidoking’s thick tail packs enormously destructive power. With one swing, it can topple a metal transmission tower. Once this Pokémon goes on a rampage, there is no stopping it.",1159,178 in stock
Clefairy,£160.00,https://scrapeme.live/wp-content/uploads/2018/08/035-350x350.png,https://scrapeme.live/shop/Clefairy/,"On every night of a full moon, groups of this Pokémon come out to play. When dawn arrives, the tired Clefairy return to their quiet mountain retreats and go to sleep nestled up against each other.",3259,86 in stock
Clefable,£188.00,https://scrapeme.live/wp-content/uploads/2018/08/036-350x350.png,https://scrapeme.live/shop/Clefable/,"Clefable moves by skipping lightly as if it were flying using its wings. Its bouncy step lets it even walk on water. It is known to take strolls on lakes on quiet, moonlit nights.",9786,23 in stock
Vulpix,£85.00,https://scrapeme.live/wp-content/uploads/2018/08/037-350x350.png,https://scrapeme.live/shop/Vulpix/,"Inside Vulpix’s body burns a flame that never goes out. During the daytime, when the temperatures rise, this Pokémon releases flames from its mouth to prevent its body from growing too hot.",1440,268 in stock
Ninetales,£52.00,https://scrapeme.live/wp-content/uploads/2018/08/038-350x350.png,https://scrapeme.live/shop/Ninetales/,Legend has it that Ninetales came into being when nine wizards possessing sacred powers merged into one. This Pokémon is highly intelligent—it can understand human speech.,5173,215 in stock
Jigglypuff,£61.00,https://scrapeme.live/wp-content/uploads/2018/08/039-350x350.png,https://scrapeme.live/shop/Jigglypuff/,"When this Pokémon sings, it never pauses to breathe. If it is in a battle against an opponent that does not easily fall asleep, Jigglypuff cannot breathe, endangering its life.",9180,136 in stock
Wigglytuff,£130.00,https://scrapeme.live/wp-content/uploads/2018/08/040-350x350.png,https://scrapeme.live/shop/Wigglytuff/,"Wigglytuff’s body is very flexible. By inhaling deeply, this Pokémon can inflate itself seemingly without end. Once inflated, Wigglytuff bounces along lightly like a balloon.",2733,260 in stock
Zubat,£125.00,https://scrapeme.live/wp-content/uploads/2018/08/041-350x350.png,https://scrapeme.live/shop/Zubat/,"Zubat avoids sunlight because exposure causes it to become unhealthy. During the daytime, it stays in caves or under the eaves of old houses, sleeping while hanging upside down.",2584,154 in stock
Golbat,£136.00,https://scrapeme.live/wp-content/uploads/2018/08/042-350x350.png,https://scrapeme.live/shop/Golbat/,"Golbat bites down on prey with its four fangs and drinks the victim’s blood. It becomes active on inky dark moonless nights, flying around to attack people and Pokémon.",5941,52 in stock
Oddish,£45.00,https://scrapeme.live/wp-content/uploads/2018/08/043-350x350.png,https://scrapeme.live/shop/Oddish/,"Oddish searches for fertile, nutrient-rich soil, then plants itself. During the daytime, while it is planted, this Pokémon’s feet are thought to change shape and become similar to the roots of trees.",8337,296 in stock
Gloom,£178.00,https://scrapeme.live/wp-content/uploads/2018/08/044-350x350.png,https://scrapeme.live/shop/Gloom/,"From its mouth Gloom drips honey that smells absolutely horrible. Apparently, it loves the horrid stench. It sniffs the noxious fumes and then drools even more of its honey.",7374,74 in stock
Vileplume,£170.00,https://scrapeme.live/wp-content/uploads/2018/08/045-350x350.png,https://scrapeme.live/shop/Vileplume/,"Vileplume has the world’s largest petals. They are used to attract prey that are then doused with toxic spores. Once the prey are immobilized, this Pokémon catches and devours them.",5295,283 in stock
Paras,£168.00,https://scrapeme.live/wp-content/uploads/2018/08/046-350x350.png,https://scrapeme.live/shop/Paras/,Paras has parasitic mushrooms growing on its back called tochukaso. They grow large by drawing nutrients from this Bug Pokémon host. They are highly valued as a medicine for extending life.,9691,192 in stock
Parasect,£27.00,https://scrapeme.live/wp-content/uploads/2018/08/047-350x350.png,https://scrapeme.live/shop/Parasect/,"Parasect is known to infest large trees en masse and drain nutrients from the lower trunk and roots. When an infested tree dies, they move onto another tree all at once.",4612,17 in stock
Venonat,£158.00,https://scrapeme.live/wp-content/uploads/2018/08/048-350x350.png,https://scrapeme.live/shop/Venonat/,"Venonat is said to have evolved with a coat of thin, stiff hair that covers its entire body for protection. It possesses large eyes that never fail to spot even minuscule prey.",1329,177 in stock
Venomoth,£53.00,https://scrapeme.live/wp-content/uploads/2018/08/049-350x350.png,https://scrapeme.live/shop/Venomoth/,"Venomoth is nocturnal—it is a Pokémon that only becomes active at night. Its favorite prey are small insects that gather around streetlights, attracted by the light in the darkness.",3503,22 in stock
Diglett,£122.00,https://scrapeme.live/wp-content/uploads/2018/08/050-350x350.png,https://scrapeme.live/shop/Diglett/,"Diglett are raised in most farms. The reason is simple— wherever this Pokémon burrows, the soil is left perfectly tilled for planting crops. This soil is made ideal for growing delicious vegetables.",4383,227 in stock
Dugtrio,£111.00,https://scrapeme.live/wp-content/uploads/2018/08/051-350x350.png,https://scrapeme.live/shop/Dugtrio/,"Dugtrio are actually triplets that emerged from one body. As a result, each triplet thinks exactly like the other two triplets. They work cooperatively to burrow endlessly.",7897,290 in stock
Meowth,£131.00,https://scrapeme.live/wp-content/uploads/2018/08/052-350x350.png,https://scrapeme.live/shop/Meowth/,"Meowth withdraws its sharp claws into its paws to slinkily sneak about without making any incriminating footsteps. For some reason, this Pokémon loves shiny coins that glitter with light.",9594,203 in stock
Persian,£200.00,https://scrapeme.live/wp-content/uploads/2018/08/053-350x350.png,https://scrapeme.live/shop/Persian/,Persian has six bold whiskers that give it a look of toughness. The whiskers sense air movements to determine what is in the Pokémon’s surrounding vicinity. It becomes docile if grabbed by the whiskers.,3752,108 in stock
Psyduck,£182.00,https://scrapeme.live/wp-content/uploads/2018/08/054-350x350.png,https://scrapeme.live/shop/Psyduck/,"If it uses its mysterious power, Psyduck can’t remember having done so. It apparently can’t form a memory of such an event because it goes into an altered state that is much like deep sleep.",6470,214 in stock
Golduck,£31.00,https://scrapeme.live/wp-content/uploads/2018/08/055-350x350.png,https://scrapeme.live/shop/Golduck/,"Golduck is the fastest swimmer among all Pokémon. It swims effortlessly, even in a rough, stormy sea. It sometimes rescues people from wrecked ships floundering in high seas.",8764,278 in stock
Mankey,£125.00,https://scrapeme.live/wp-content/uploads/2018/08/056-350x350.png,https://scrapeme.live/shop/Mankey/,"When Mankey starts shaking and its nasal breathing turns rough, it’s a sure sign that it is becoming angry. However, because it goes into a towering rage almost instantly, it is impossible for anyone to flee its wrath.",5180,209 in stock
Primeape,£86.00,https://scrapeme.live/wp-content/uploads/2018/08/057-350x350.png,https://scrapeme.live/shop/Primeape/,"When Primeape becomes furious, its blood circulation is boosted. In turn, its muscles are made even stronger. However, it also becomes much less intelligent at the same time.",3052,68 in stock
Growlithe,£30.00,https://scrapeme.live/wp-content/uploads/2018/08/058-350x350.png,https://scrapeme.live/shop/Growlithe/,"Growlithe has a superb sense of smell. Once it smells anything, this Pokémon won’t forget the scent, no matter what. It uses its advanced olfactory sense to determine the emotions of other living things.",1749,243 in stock
Arcanine,£69.00,https://scrapeme.live/wp-content/uploads/2018/08/059-350x350.png,https://scrapeme.live/shop/Arcanine/,"Arcanine is known for its high speed. It is said to be capable of running over 6,200 miles in a single day and night. The fire that blazes wildly within this Pokémon’s body is its source of power.",9267,14 in stock
Poliwag,£174.00,https://scrapeme.live/wp-content/uploads/2018/08/060-350x350.png,https://scrapeme.live/shop/Poliwag/,"Poliwag has a very thin skin. It is possible to see the Pokémon’s spiral innards right through the skin. Despite its thinness, however, the skin is also very flexible. Even sharp fangs bounce right off it.",6402,217 in stock
Poliwhirl,£121.00,https://scrapeme.live/wp-content/uploads/2018/08/061-350x350.png,https://scrapeme.live/shop/Poliwhirl/,"The surface of Poliwhirl’s body is always wet and slick with a slimy fluid. Because of this slippery covering, it can easily slip and slide out of the clutches of any enemy in battle.",4447,139 in stock
Poliwrath,£152.00,https://scrapeme.live/wp-content/uploads/2018/08/062-350x350.png,https://scrapeme.live/shop/Poliwrath/,"Poliwrath’s highly developed, brawny muscles never grow fatigued, however much it exercises. It is so tirelessly strong, this Pokémon can swim back and forth across the ocean without effort.",1848,216 in stock
Abra,£141.00,https://scrapeme.live/wp-content/uploads/2018/08/063-350x350.png,https://scrapeme.live/shop/Abra/,"Abra needs to sleep for eighteen hours a day. If it doesn’t, this Pokémon loses its ability to use telekinetic powers. If it is attacked, Abra escapes using Teleport while it is still sleeping.",3845,116 in stock
Kadabra,£129.00,https://scrapeme.live/wp-content/uploads/2018/08/064-350x350.png,https://scrapeme.live/shop/Kadabra/,"Kadabra holds a silver spoon in its hand. The spoon is used to amplify the alpha waves in its brain. Without the spoon, the Pokémon is said to be limited to half the usual amount of its telekinetic powers.",9040,195 in stock
Alakazam,£40.00,https://scrapeme.live/wp-content/uploads/2018/08/065-350x350.png,https://scrapeme.live/shop/Alakazam/,"Alakazam’s brain continually grows, infinitely multiplying brain cells. This amazing brain gives this Pokémon an astoundingly high IQ of 5,000. It has a thorough memory of everything that has occurred in the world.",7975,142 in stock
Machop,£166.00,https://scrapeme.live/wp-content/uploads/2018/08/066-350x350.png,https://scrapeme.live/shop/Machop/,Machop exercises by hefting around a Graveler as if it were a barbell. There are some Machop that travel the world in a quest to master all kinds of martial arts.,9506,173 in stock
Machoke,£27.00,https://scrapeme.live/wp-content/uploads/2018/08/067-350x350.png,https://scrapeme.live/shop/Machoke/,"Machoke undertakes bodybuilding every day even as it helps people with tough, physically demanding labor. On its days off, this Pokémon heads to the fields and mountains to exercise and train.",9503,10 in stock
Machamp,£121.00,https://scrapeme.live/wp-content/uploads/2018/08/068-350x350.png,https://scrapeme.live/shop/Machamp/,"Machamp is known as the Pokémon that has mastered every kind of martial arts. If it grabs hold of the foe with its four arms, the battle is all but over. The hapless foe is thrown far over the horizon.",2857,242 in stock
Bellsprout,£74.00,https://scrapeme.live/wp-content/uploads/2018/08/069-350x350.png,https://scrapeme.live/shop/Bellsprout/,"Bellsprout’s thin and flexible body lets it bend and sway to avoid any attack, however strong it may be. From its mouth, this Pokémon spits a corrosive fluid that melts even iron.",7454,257 in stock
Weepinbell,£26.00,https://scrapeme.live/wp-content/uploads/2018/08/070-350x350.png,https://scrapeme.live/shop/Weepinbell/,"Weepinbell has a large hook on its rear end. At night, the Pokémon hooks on to a tree branch and goes to sleep. If it moves around in its sleep, it may wake up to find itself on the ground.",5253,46 in stock
Victreebel,£68.00,https://scrapeme.live/wp-content/uploads/2018/08/071-350x350.png,https://scrapeme.live/shop/Victreebel/,"Victreebel has a long vine that extends from its head. This vine is waved and flicked about as if it were an animal to attract prey. When an unsuspecting prey draws near, this Pokémon swallows it whole.",2187,119 in stock
Tentacool,£186.00,https://scrapeme.live/wp-content/uploads/2018/08/072-350x350.png,https://scrapeme.live/shop/Tentacool/,Tentacool absorbs sunlight and refracts it using water inside its body to convert it into beam energy. This Pokémon shoots beams from the small round organ above its eyes.,1506,66 in stock
Tentacruel,£65.00,https://scrapeme.live/wp-content/uploads/2018/08/073-350x350.png,https://scrapeme.live/shop/Tentacruel/,Tentacruel has tentacles that can be freely elongated and shortened at will. It ensnares prey with its tentacles and weakens the prey by dosing it with a harsh toxin. It can catch up to 80 prey at the same time.,1723,175 in stock
Geodude,£32.00,https://scrapeme.live/wp-content/uploads/2018/08/074-350x350.png,https://scrapeme.live/shop/Geodude/,"When Geodude sleeps deeply, it buries itself halfway into the ground. It will not awaken even if hikers step on it unwittingly. In the morning, this Pokémon rolls downhill in search of food.",1650,77 in stock
Graveler,£182.00,https://scrapeme.live/wp-content/uploads/2018/08/075-350x350.png,https://scrapeme.live/shop/Graveler/,"Rocks are Graveler’s favorite food. This Pokémon will climb a mountain from the base to the summit, crunchingly feasting on rocks all the while. Upon reaching the peak, it rolls back down to the bottom.",4748,86 in stock
Golem,£103.00,https://scrapeme.live/wp-content/uploads/2018/08/076-350x350.png,https://scrapeme.live/shop/Golem/,"Golem is known for rolling down from mountains. To prevent them from rolling into the homes of people downhill, grooves have been dug into the sides of mountains to serve as guideways for diverting this Pokémon’s course.",1408,151 in stock
Ponyta,£53.00,https://scrapeme.live/wp-content/uploads/2018/08/077-350x350.png,https://scrapeme.live/shop/Ponyta/,Ponyta is very weak at birth. It can barely stand up. This Pokémon becomes stronger by stumbling and falling to keep up with its parent.,3629,41 in stock
Rapidash,£98.00,https://scrapeme.live/wp-content/uploads/2018/08/078-350x350.png,https://scrapeme.live/shop/Rapidash/,"Rapidash usually can be seen casually cantering in the fields and plains. However, when this Pokémon turns serious, its fiery manes flare and blaze as it gallops its way up to 150 mph.",3414,194 in stock
Slowpoke,£109.00,https://scrapeme.live/wp-content/uploads/2018/08/079-350x350.png,https://scrapeme.live/shop/Slowpoke/,"Slowpoke uses its tail to catch prey by dipping it in water at the side of a river. However, this Pokémon often forgets what it’s doing and often spends entire days just loafing at water’s edge.",2145,57 in stock
Slowbro,£179.00,https://scrapeme.live/wp-content/uploads/2018/08/080-350x350.png,https://scrapeme.live/shop/Slowbro/,"Slowbro’s tail has a Shellder firmly attached with a bite. As a result, the tail can’t be used for fishing anymore. This causes Slowbro to grudgingly swim and catch prey instead.",3864,289 in stock
Magnemite,£100.00,https://scrapeme.live/wp-content/uploads/2018/08/081-350x350.png,https://scrapeme.live/shop/Magnemite/,Magnemite floats in the air by emitting electromagnetic waves from the units at its sides. These waves block gravity. This Pokémon becomes incapable of flight if its internal electrical supply is depleted.,1688,16 in stock
Magneton,£191.00,https://scrapeme.live/wp-content/uploads/2018/08/082-350x350.png,https://scrapeme.live/shop/Magneton/,"Magneton emits a powerful magnetic force that is fatal to electronics and precision instruments. Because of this, it is said that some towns warn people to keep this Pokémon inside a Poké Ball.",5934,152 in stock
Farfetchd,£185.00,https://scrapeme.live/wp-content/uploads/2018/08/083-350x350.png,https://scrapeme.live/shop/Farfetchd/,"Farfetch’d is always seen with a stalk from a plant of some sort. Apparently, there are good stalks and bad stalks. This Pokémon has been known to fight with others over stalks.",3808,158 in stock
Doduo,£73.00,https://scrapeme.live/wp-content/uploads/2018/08/084-350x350.png,https://scrapeme.live/shop/Doduo/,"Doduo’s two heads contain completely identical brains. A scientific study reported that on rare occasions, there will be examples of this Pokémon possessing different sets of brains.",8303,227 in stock
Dodrio,£138.00,https://scrapeme.live/wp-content/uploads/2018/08/085-350x350.png,https://scrapeme.live/shop/Dodrio/,"Apparently, the heads aren’t the only parts of the body that Dodrio has three of. It has three sets of hearts and lungs as well, so it is capable of running long distances without rest.",4038,118 in stock
Seel,£164.00,https://scrapeme.live/wp-content/uploads/2018/08/086-350x350.png,https://scrapeme.live/shop/Seel/,"Seel hunts for prey in the frigid sea underneath sheets of ice. When it needs to breathe, it punches a hole through the ice with the sharply protruding section of its head.",2302,250 in stock
Dewgong,£70.00,https://scrapeme.live/wp-content/uploads/2018/08/087-350x350.png,https://scrapeme.live/shop/Dewgong/,Dewgong loves to snooze on bitterly cold ice. The sight of this Pokémon sleeping on a glacier was mistakenly thought to be a mermaid by a mariner long ago.,9375,62 in stock
Grimer,£147.00,https://scrapeme.live/wp-content/uploads/2018/08/088-350x350.png,https://scrapeme.live/shop/Grimer/,Grimer emerged from the sludge that settled on a polluted seabed. This Pokémon loves anything filthy. It constantly leaks a horribly germ-infested fluid from all over its body.,3031,201 in stock
Muk,£187.00,https://scrapeme.live/wp-content/uploads/2018/08/089-350x350.png,https://scrapeme.live/shop/Muk/,"This Pokémon’s favorite food is anything that is repugnantly filthy. In dirty towns where people think nothing of throwing away litter on the streets, Muk are certain to gather.",9514,220 in stock
Shellder,£138.00,https://scrapeme.live/wp-content/uploads/2018/08/090-350x350.png,https://scrapeme.live/shop/Shellder/,"At night, this Pokémon uses its broad tongue to burrow a hole in the seafloor sand and then sleep in it. While it is sleeping, Shellder closes its shell, but leaves its tongue hanging out.",4653,23 in stock
Cloyster,£199.00,https://scrapeme.live/wp-content/uploads/2018/08/091-350x350.png,https://scrapeme.live/shop/Cloyster/,"Cloyster is capable of swimming in the sea. It does so by swallowing water, then jetting it out toward the rear. This Pokémon shoots spikes from its shell using the same system.",5736,39 in stock
Gastly,£179.00,https://scrapeme.live/wp-content/uploads/2018/08/092-350x350.png,https://scrapeme.live/shop/Gastly/,"Gastly is largely composed of gaseous matter. When exposed to a strong wind, the gaseous body quickly dwindles away. Groups of this Pokémon cluster under the eaves of houses to escape the ravages of wind.",6873,151 in stock
Haunter,£42.00,https://scrapeme.live/wp-content/uploads/2018/08/093-350x350.png,https://scrapeme.live/shop/Haunter/,"Haunter is a dangerous Pokémon. If one beckons you while floating in darkness, you must never approach it. This Pokémon will try to lick you with its tongue and steal your life away.",7532,181 in stock
Gengar,£149.00,https://scrapeme.live/wp-content/uploads/2018/08/094-350x350.png,https://scrapeme.live/shop/Gengar/,"Sometimes, on a dark night, your shadow thrown by a streetlight will suddenly and startlingly overtake you. It is actually a Gengar running past you, pretending to be your shadow.",6267,159 in stock
Onix,£37.00,https://scrapeme.live/wp-content/uploads/2018/08/095-350x350.png,https://scrapeme.live/shop/Onix/,"Onix has a magnet in its brain. It acts as a compass so that this Pokémon does not lose direction while it is tunneling. As it grows older, its body becomes increasingly rounder and smoother.",2221,286 in stock
Drowzee,£40.00,https://scrapeme.live/wp-content/uploads/2018/08/096-350x350.png,https://scrapeme.live/shop/Drowzee/,"If your nose becomes itchy while you are sleeping, it’s a sure sign that one of these Pokémon is standing above your pillow and trying to eat your dream through your nostrils.",9437,253 in stock
Hypno,£198.00,https://scrapeme.live/wp-content/uploads/2018/08/097-350x350.png,https://scrapeme.live/shop/Hypno/,"Hypno holds a pendulum in its hand. The arcing movement and glitter of the pendulum lull the foe into a deep state of hypnosis. While this Pokémon searches for prey, it polishes the pendulum.",2634,222 in stock
Krabby,£64.00,https://scrapeme.live/wp-content/uploads/2018/08/098-350x350.png,https://scrapeme.live/shop/Krabby/,"Krabby live on beaches, burrowed inside holes dug into the sand. On sandy beaches with little in the way of food, these Pokémon can be seen squabbling with each other over territory.",2333,147 in stock
Kingler,£72.00,https://scrapeme.live/wp-content/uploads/2018/08/099-350x350.png,https://scrapeme.live/shop/Kingler/,"Kingler has an enormous, oversized claw. It waves this huge claw in the air to communicate with others. However, because the claw is so heavy, the Pokémon quickly tires.",1454,271 in stock
Voltorb,£189.00,https://scrapeme.live/wp-content/uploads/2018/08/100-350x350.png,https://scrapeme.live/shop/Voltorb/,Voltorb is extremely sensitive—it explodes at the slightest of shocks. It is rumored that it was first created when a Poké Ball was exposed to a powerful pulse of energy.,9522,245 in stock
Electrode,£100.00,https://scrapeme.live/wp-content/uploads/2018/08/101-350x350.png,https://scrapeme.live/shop/Electrode/,One of Electrode’s characteristics is its attraction to electricity. It is a problematical Pokémon that congregates mostly at electrical power plants to feed on electricity that has just been generated.,1042,230 in stock
Exeggcute,£126.00,https://scrapeme.live/wp-content/uploads/2018/08/102-350x350.png,https://scrapeme.live/shop/Exeggcute/,"This Pokémon consists of six eggs that form a closely knit cluster. The six eggs attract each other and spin around. When cracks increasingly appear on the eggs, Exeggcute is close to evolution.",2494,144 in stock
Exeggutor,£68.00,https://scrapeme.live/wp-content/uploads/2018/08/103-350x350.png,https://scrapeme.live/shop/Exeggutor/,"Exeggutor originally came from the tropics. Its heads steadily grow larger from exposure to strong sunlight. It is said that when the heads fall off, they group together to form Exeggcute.",8250,292 in stock
